Volcano_Name,Country,Latitude,Longitude,Volcano_Type,Last_Eruption
Grimsvotn,Iceland,64.416,-17.316,Caldera,1784
Coropuna,Peru,-15.52,-72.65,Stratovolcano,1784
Hualalai,United States,19.692,-155.87,Shield volcano,1784
Aogashima,Japan,32.458,139.759,Stratovolcano,1785
Dieng Volcanic Complex,Indonesia,-7.2,109.879,Complex volcano,1786
Izu-Oshima,Japan,34.724,139.394,Stratovolcano,1789
Kilauea,United States,19.421,-155.287,Shield volcano,1790
Unzendake,Japan,32.761,130.299,Complex volcano,1792
Vesuvius,Italy,40.821,14.426,Complex volcano,1794
Aira,Japan,31.593,130.657,Stratovolcano,1797
Guntur,Indonesia,-7.143,107.841,Complex volcano,1800
Mayon,Philippines,13.257,123.685,Stratovolcano,1800
Kyejo,Tanzania,-9.229,33.792,Stratovolcano,1800
St. Helens,United States,46.2,-122.18,Stratovolcano,1800
Hualalai,United States,19.692,-155.87,Shield volcano,1800
Chokaisan,Japan,39.099,140.049,Stratovolcano,1801
Asamayama,Japan,36.406,138.523,Complex volcano,1803
Asamayama,Japan,36.406,138.523,Complex volcano,1803
Shikotsu,Japan,42.688,141.38,Caldera,1804
Vesuvius,Italy,40.821,14.426,Complex volcano,1805
Sao Jorge,Portugal,38.65,-28.08,Fissure vent,1808
Soufriere St. Vincent,St. Vincent & the Grenadines,13.33,-61.18,Stratovolcano,1812
Awu,Indonesia,3.689,125.447,Stratovolcano,1812
Vesuvius,Italy,40.821,14.426,Complex volcano,1813
Mayon,Philippines,13.257,123.685,Stratovolcano,1814
Tambora,Indonesia,-8.25,118,Stratovolcano,1815
Asosan,Japan,32.884,131.104,Caldera,1816
Ijen,Indonesia,-8.058,114.242,Stratovolcano,1817
Raung,Indonesia,-8.119,114.056,Stratovolcano,1817
Colima,Mexico,19.514,-103.62,Stratovolcano,1818
Asuncion,United States,19.671,145.406,Stratovolcano,1819
Westdahl,United States,54.516,-164.65,Stratovolcano,1820
Banda Api,Pacific Ocean,-4.523,129.881,Caldera,1820
Toya,Japan,42.544,140.839,Stratovolcano,1822
Galunggung,Indonesia,-7.25,108.058,Stratovolcano,1822
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1822
Kilauea,United States,19.421,-155.287,Shield volcano,1823
Shishaldin,United States,54.756,-163.97,Stratovolcano,1825
Balbi,Papua New Guinea,-5.92,154.98,Stratovolcano,1825
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1826
Dieng Volcanic Complex,Indonesia,-7.2,109.879,Complex volcano,1826
Asosan,Japan,32.884,131.104,Caldera,1826
Avachinsky,Russia,53.256,158.836,Stratovolcano,1827
Avachinsky,Russia,53.256,158.836,Stratovolcano,1827
Guntur,Indonesia,-7.143,107.841,Complex volcano,1829
Etna,Italy,37.748,14.999,Stratovolcano,1832
Merapi,Indonesia,-7.54,110.446,Stratovolcano,1832
Kaba,Indonesia,-3.522,102.615,Stratovolcano,1833
Cosiguina,Nicaragua,12.98,-87.57,Stratovolcano,1835
Banda Api,Pacific Ocean,-4.523,129.881,Caldera,1835
Peuet Sague,Indonesia,4.903,96.289,Complex volcano,1837
Gamalama,Indonesia,0.8,127.33,Stratovolcano,1838
Unnamed,Chile,-33.62,-76.83,Submarine volcano,1839
Gamalama,Indonesia,0.8,127.33,Stratovolcano,1840
Kilauea,United States,19.421,-155.287,Shield volcano,1840
Ararat,Turkey,39.7,44.3,Stratovolcano,1840
Savo,Solomon Is.,-9.13,159.82,Stratovolcano,1840
Tinakula,Solomon Is.,-10.386,165.804,Stratovolcano,1840
Kuchinoerabujima,Japan,30.443,130.217,Stratovolcano,1841
Liamuiga,St. Kitts & Nevis,17.37,-62.8,Stratovolcano,1843
Soufriere Guadeloupe,Guadeloupe,16.044,-61.664,Stratovolcano,1843
Lamongan,Indonesia,-7.981,113.341,Stratovolcano,1843
Etna,Italy,37.748,14.999,Stratovolcano,1843
Soputan,Indonesia,1.112,124.737,Stratovolcano,1845
"Ruiz, Nevado del",Colombia,4.892,-75.324,Stratovolcano,1845
Hekla,Iceland,63.983,-19.666,Stratovolcano,1845
Taupo,New Zealand,-38.82,176,Caldera,1846
Tangkuban Parahu,Indonesia,-6.77,107.6,Stratovolcano,1846
Esan,Japan,41.805,141.166,Stratovolcano,1846
Fogo,Cape Verde,14.95,-24.35,Stratovolcano,1847
Dieng Volcanic Complex,Indonesia,-7.2,109.879,Complex volcano,1847
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1848
Rabaul,Papua New Guinea,-4.271,152.203,Pyroclastic shield,1850
Niuafo'ou,Tonga,-15.6,-175.63,Shield volcano,1853
Mayon,Philippines,13.257,123.685,Stratovolcano,1853
Unnamed,Taiwan,24,121.83,Submarine volcano,1853
Sheveluch,Russia,56.653,161.36,Stratovolcano,1854
Asosan,Japan,32.884,131.104,Caldera,1854
Alaid,Russia,50.861,155.565,Stratovolcano,1854
Awu,Indonesia,3.689,125.447,Stratovolcano,1856
Shishaldin,United States,54.756,-163.97,Stratovolcano,1856
Hokkaido-Komagatake,Japan,42.063,140.677,Stratovolcano,1856
Umboi,Papua New Guinea,-5.592,147.892,Complex volcano,1857
Mayon,Philippines,13.257,123.685,Stratovolcano,1858
Midagahara,Japan,36.571,137.59,Stratovolcano,1858
Midagahara,Japan,36.571,137.59,Stratovolcano,1858
Semeru,Indonesia,-8.108,112.922,Stratovolcano,1860
Fuego,Guatemala,14.473,-90.88,Stratovolcano,1860
Grimsvotn,Iceland,64.416,-17.316,Caldera,1860
Dubbi,Eritrea,13.579,41.809,Stratovolcano,1861
Grimsvotn,Iceland,64.416,-17.316,Caldera,1861
Kie Besi,Indonesia,0.32,127.4,Stratovolcano,1861
Yasur,Vanuatu,-19.532,169.447,Stratovolcano,1863
Kelud,Indonesia,-7.935,112.314,Stratovolcano,1864
